seed,N,n,p,K,r,m,phi,spatial_svd_time,spatial_svd_err,spatial_svd_acc,vanilla_svd_time,vanilla_svd_err,vanilla_svd_acc
66,200,1000,50,3,0.05,5,0.1,923.4502574349754,13.96650372231771,0.967,3.3675369950942695,6.073729040424713,0.907
29,50,1000,50,3,0.05,5,0.1,1028.4111067741178,9.009897895463524,0.966,2.831067943945527,8.984677052154423,0.958
7,100,1000,30,3,0.05,5,0.1,863.2501010661945,11.692419121396902,0.96,3.839323163032532,7.675977533945542,0.962
392,10,1000,30,3,0.05,5,0.1,3401.9932429119945,14.01885759710902,0.946,3.275354500859976,14.105013178408404,0.407
98,30,1000,50,3,0.05,5,0.1,944.5337339788676,9.327618677495083,0.967,3.3162084906361997,18.67707828978253,0.538
1,100,1000,10,3,0.05,5,0.1,457.83915902487934,9.984967737787336,0.978,3.278718716930598,6.500125067622585,0.997
43,100,1000,30,3,0.05,5,0.1,608.5096918311901,8.541366567561676,0.955,2.844030164182186,7.497013672021578,0.991
321,100,1000,10,3,0.05,5,0.1,1777.9930292665958,12.648011607775388,0.899,3.320796065032482,10.951174722494995,0.509
93,200,1000,30,3,0.05,5,0.1,566.4419009508565,13.267199115404912,0.957,3.349173433147371,8.451189351290429,0.992
304,10,1000,10,3,0.05,5,0.1,1389.9858957119286,9.084562570600909,0.932,3.314910039305687,21.55532079477072,0.448
87,10,1000,50,3,0.05,5,0.1,2246.868159483187,12.664416879190666,0.929,3.44221546780318,18.00769919549684,0.379
10,200,1000,30,3,0.05,5,0.1,688.9696291219443,7.534192617754338,0.984,3.329061221331358,4.57450082297088,0.998
369,50,1000,10,3,0.05,5,0.1,595.1367952078581,10.970880598397777,0.967,3.398517057299614,7.620951601874685,0.977
367,50,1000,10,3,0.05,5,0.1,467.5460419245064,13.980416502412751,0.967,3.2700923047959805,8.109394068550996,0.942
320,30,1000,10,3,0.05,5,0.1,624.1205553375185,11.779372417563565,0.961,3.3381242752075195,11.326400440184411,0.857
315,30,1000,10,3,0.05,5,0.1,632.7645277902484,14.177582743578888,0.95,3.232348833233118,11.068563273659876,0.887
96,30,1000,50,3,0.05,5,0.1,1224.6906291837804,11.532380126700264,0.946,3.8769653663039207,11.488667929862231,0.629
383,30,1000,30,3,0.05,5,0.1,1233.364626493305,11.380232547010738,0.945,3.2917773947119713,12.74250600622542,0.838
89,10,1000,50,3,0.05,5,0.1,2614.0782324327156,9.625485788447603,0.936,3.3050990127958357,17.748440903379723,0.482
352,50,1000,10,3,0.05,5,0.1,482.7918297164142,10.954595298181232,0.981,3.698318097740412,7.639211270829447,0.992
81,100,1000,30,3,0.05,5,0.1,543.7918161759153,9.868393424330336,0.972,3.2563067730516195,9.856833800757029,0.994
51,200,1000,30,3,0.05,5,0.1,621.7222516150214,9.865611009475014,0.961,3.457311265170574,5.576073258055815,0.995
