,T cell,B cell,Macrophage,Granulocyte,Blood vessel,Stroma,Other
"('cell', 691)",0,0,1,0,0,0,0
"('cell', 673)",0,0,1,0,0,0,0
"('cell', 780)",0,0,1,0,0,0,0
"('cell', 833)",0,0,1,0,0,1,0
"('cell', 834)",0,0,1,0,2,1,0
"('cell', 790)",0,0,1,0,0,0,0
"('cell', 730)",0,0,1,0,0,0,0
"('cell', 815)",0,0,1,0,0,0,0
"('cell', 1282)",0,1,0,0,0,0,0
"('cell', 1268)",0,0,0,0,1,0,0
"('cell', 1351)",0,1,0,0,0,0,0
"('cell', 1315)",0,1,0,0,1,0,0
"('cell', 254)",0,1,0,0,0,0,0
"('cell', 499)",0,0,4,0,0,5,0
"('cell', 620)",0,0,3,0,1,2,0
"('cell', 634)",0,0,0,0,0,2,0
"('cell', 580)",0,0,1,0,0,4,0
"('cell', 1808)",0,0,0,0,0,2,0
"('cell', 2243)",0,0,0,1,0,0,0
"('cell', 2218)",0,0,0,1,0,0,0
"('cell', 2275)",0,0,1,0,0,0,0
"('cell', 2370)",0,0,1,0,1,1,0
"('cell', 2376)",0,0,1,0,2,3,2
"('cell', 2247)",0,0,0,1,0,0,0
"('cell', 2212)",0,0,1,1,0,0,0
"('cell', 1936)",0,0,0,0,0,2,0
"('cell', 1887)",0,0,1,0,1,2,0
"('cell', 1929)",0,0,1,0,1,2,0
"('cell', 1881)",0,0,1,0,1,2,0
"('cell', 1861)",0,0,1,0,1,2,0
"('cell', 2329)",0,0,0,1,0,0,0
"('cell', 2355)",0,0,0,1,0,0,0
"('cell', 2313)",0,0,0,1,0,0,0
"('cell', 2521)",0,0,0,1,0,0,0
"('cell', 2514)",0,0,0,1,0,0,0
"('cell', 2462)",0,0,0,0,0,4,0
"('cell', 2383)",0,0,1,0,2,3,2
"('cell', 1333)",0,0,4,1,1,1,1
"('cell', 1286)",0,0,0,0,1,1,1
"('cell', 1383)",0,0,0,0,2,0,4
"('cell', 964)",0,0,0,0,0,1,0
"('cell', 981)",0,0,1,0,0,1,0
"('cell', 893)",0,0,1,3,0,1,0
"('cell', 830)",0,0,1,2,0,0,0
"('cell', 894)",0,0,1,2,0,0,0
"('cell', 915)",0,0,1,2,0,0,0
"('cell', 950)",0,0,1,2,0,1,0
"('cell', 541)",0,0,1,1,0,0,0
"('cell', 540)",0,0,1,3,0,0,0
"('cell', 577)",0,0,1,1,0,0,0
"('cell', 521)",0,0,0,2,0,0,0
"('cell', 587)",0,0,1,0,0,0,0
"('cell', 529)",0,0,1,0,0,0,0
"('cell', 488)",0,0,0,1,0,0,0
"('cell', 1029)",0,0,1,0,0,0,0
"('cell', 1052)",0,0,2,0,0,0,0
"('cell', 958)",0,0,1,0,0,0,0
"('cell', 978)",0,0,1,0,0,0,0
"('cell', 1045)",0,0,1,0,0,0,0
"('cell', 1091)",0,0,3,0,0,0,0
"('cell', 942)",0,0,1,0,0,0,0
"('cell', 905)",0,0,1,0,0,0,0
"('cell', 837)",0,0,0,1,0,0,0
"('cell', 260)",0,0,0,2,0,0,0
"('cell', 206)",0,0,0,2,0,0,0
"('cell', 180)",0,0,0,2,0,0,0
"('cell', 347)",0,0,0,1,0,0,0
"('cell', 363)",0,0,0,2,0,0,0
"('cell', 336)",0,0,0,1,0,0,0
"('cell', 308)",0,0,0,1,0,0,0
"('cell', 453)",0,0,0,1,0,0,1
"('cell', 497)",0,0,0,1,0,0,1
"('cell', 630)",0,0,1,0,0,0,1
"('cell', 617)",0,0,2,0,0,0,2
"('cell', 682)",0,0,1,0,0,0,2
"('cell', 801)",0,0,1,0,3,0,0
"('cell', 880)",0,0,0,0,1,0,0
"('cell', 716)",0,0,3,0,2,1,0
"('cell', 659)",0,0,4,0,1,0,0
"('cell', 612)",0,0,3,0,0,1,0
"('cell', 1472)",0,1,1,0,0,1,0
"('cell', 2467)",0,0,0,1,0,0,0
"('cell', 2491)",0,0,0,2,0,0,0
"('cell', 2445)",0,0,1,0,0,1,0
"('cell', 1111)",0,0,1,1,0,0,0
"('cell', 1112)",0,0,1,1,0,0,0
"('cell', 1061)",0,0,1,1,0,0,0
"('cell', 1070)",0,0,1,0,2,0,0
"('cell', 1121)",0,0,1,0,2,0,0
"('cell', 1170)",0,0,1,0,1,0,0
"('cell', 1171)",0,0,1,1,0,0,0
"('cell', 1327)",0,0,6,0,1,2,0
"('cell', 1524)",0,0,1,0,1,4,0
"('cell', 1489)",0,1,1,0,0,3,0
"('cell', 1497)",0,0,1,0,1,2,0
"('cell', 1431)",0,1,0,0,0,1,0
"('cell', 1558)",0,1,2,0,2,4,1
"('cell', 2345)",0,0,1,0,1,0,0
"('cell', 2346)",0,0,2,0,1,2,0
"('cell', 2326)",0,0,1,0,1,3,0
"('cell', 2304)",0,0,1,0,1,3,0
"('cell', 2284)",0,0,1,0,1,6,0
"('cell', 61)",0,0,4,2,0,0,0
"('cell', 79)",0,0,3,2,0,0,0
"('cell', 43)",0,0,4,1,0,0,0
"('cell', 213)",0,1,0,0,0,0,0
"('cell', 247)",0,1,0,0,0,0,0
"('cell', 191)",0,1,0,0,0,0,0
"('cell', 138)",0,1,0,0,0,0,0
"('cell', 147)",0,1,0,0,0,0,0
"('cell', 107)",0,0,1,2,0,0,0
"('cell', 395)",0,0,1,0,0,0,0
