trial,N,n,p,K,vanilla_err,vanilla_acc,splsi_err,splsi_acc,slda_err,slda_acc,time_v,time_splsi,time_slda,spatial_lambd
38,1000,1000,500,3,2.5102462122142075,0.983,2.1237463985335303,0.998,25.392018737387698,0.33,0.1343333721160888,26.506324768066406,85.39176321029663,0.0020106555868618
39,1000,1000,500,3,2.714511698771332,0.971,2.2432398152982276,0.969,26.572852193122397,0.367,0.1346855163574218,21.70069646835327,84.35279893875122,0.0027143850422634
40,1000,1000,500,3,2.911126225928685,0.912,2.2754454083836824,0.922,25.92144469455273,0.317,0.1335139274597168,28.52599596977234,84.99845123291016,0.0027143850422634
41,1000,1000,500,3,3.110807416218118,0.959,2.8707088208696177,0.963,25.369029906714413,0.315,0.133908987045288,19.408368587493896,85.43354535102844,0.0020106555868618
42,1000,1000,500,3,2.4135834078742877,0.965,2.699949080241784,0.97,24.687839504634887,0.368,0.1344618797302246,26.639625310897827,85.03914403915405,0.0027143850422634
43,1000,1000,500,3,3.270842488436005,0.942,1.9585184244189568,0.967,26.529821553925657,0.368,0.1344003677368164,28.3023521900177,84.28220319747925,0.0020106555868618
44,1000,1000,500,3,3.6791092805979617,0.832,3.495255073979603,0.816,22.606250349440433,0.325,0.1343283653259277,27.169812440872192,85.29865455627441,0.0020106555868618
45,1000,1000,500,3,2.8840186235847325,0.943,2.0575915991194456,0.945,25.199121489788475,0.379,0.1343700885772705,27.17504191398621,85.94435501098633,0.0020106555868618
46,1000,1000,500,3,2.817936533408199,0.916,2.172327490937665,0.965,25.013986074586633,0.348,0.1338832378387451,29.538738489151,85.32421851158142,0.0020106555868618
47,1000,1000,500,3,2.874724691134918,0.927,2.542306084909396,0.927,25.570256464529987,0.354,0.1337764263153076,36.659846782684326,86.16892838478088,0.0027143850422634
48,1000,1000,500,3,3.1564062264362223,0.949,1.8559264141151333,0.985,25.77855623818367,0.32,0.1339938640594482,25.36233115196228,85.10302066802979,0.0014893745087865
49,1000,1000,500,3,2.4992289540851,0.967,2.0976638607762,0.992,25.028293228966383,0.314,0.134068489074707,39.47655987739563,85.23682308197021,0.0020106555868618
0,10,1000,20,3,15.899312148034266,0.483,7.266990456916461,0.855,15.99954690300399,0.43,0.0228757858276367,72.87684512138367,86.29065203666687,0.073678861576635
1,10,1000,20,3,15.524572142439853,0.624,7.379434968249494,0.913,16.58961248579957,0.603,0.0211012363433837,67.7042305469513,85.74658966064453,0.073678861576635
2,10,1000,20,3,15.589536641490914,0.592,7.305658719553875,0.844,15.711252987768995,0.559,0.0205750465393066,91.13873600959778,86.1771821975708,0.073678861576635
3,10,1000,20,3,15.244302409050148,0.619,6.242310730228459,0.843,16.657439892624645,0.513,0.0214114189147949,81.65885019302368,86.55622267723083,0.0545769345012111
