,T cell,B cell,Macrophage,Granulocyte,Blood vessel,Stroma,Other
"('cell', 1254)",0,4,3,0,1,1,0
"('cell', 1204)",0,1,4,0,2,1,0
"('cell', 1536)",0,5,0,0,0,0,0
"('cell', 1558)",0,4,0,0,0,0,0
"('cell', 1566)",0,4,0,0,0,0,0
"('cell', 1595)",0,3,0,0,0,0,0
"('cell', 1487)",0,5,0,0,0,0,0
"('cell', 1456)",0,8,1,0,0,0,0
"('cell', 1320)",0,7,0,0,0,0,0
"('cell', 1301)",0,6,0,0,2,0,0
"('cell', 1365)",0,9,0,0,0,0,0
"('cell', 1444)",0,9,1,0,0,0,0
"('cell', 1470)",0,4,0,0,0,0,0
"('cell', 1508)",0,4,0,0,0,0,0
"('cell', 12)",0,0,3,0,0,4,0
"('cell', 133)",0,0,7,0,2,7,0
"('cell', 480)",0,10,0,0,1,0,0
"('cell', 424)",0,8,1,0,1,0,0
"('cell', 437)",0,4,2,0,3,0,0
"('cell', 520)",0,7,0,0,2,0,0
"('cell', 481)",0,3,2,0,3,0,0
"('cell', 82)",0,0,1,1,0,3,0
"('cell', 441)",0,7,5,0,0,2,0
"('cell', 390)",0,6,6,0,0,2,0
"('cell', 836)",0,6,0,0,0,0,0
"('cell', 835)",0,8,0,0,0,0,0
"('cell', 862)",0,7,0,0,0,0,0
"('cell', 867)",0,6,0,0,0,0,0
"('cell', 1231)",0,3,0,1,0,0,0
"('cell', 1260)",0,5,0,0,0,0,0
"('cell', 1217)",0,3,0,0,0,0,0
"('cell', 1200)",0,3,0,0,0,0,0
"('cell', 666)",0,10,0,0,0,0,0
"('cell', 1389)",0,3,0,0,0,0,0
"('cell', 1383)",0,8,0,0,0,0,0
"('cell', 1306)",0,3,0,0,0,0,0
"('cell', 1281)",0,4,0,0,0,0,0
"('cell', 1313)",0,6,0,0,0,0,0
"('cell', 1347)",0,3,0,0,0,0,0
"('cell', 1299)",0,2,0,0,0,0,0
"('cell', 1510)",0,3,0,0,0,0,0
"('cell', 1467)",0,4,0,0,0,0,0
"('cell', 1611)",0,0,1,1,0,3,0
"('cell', 1379)",0,2,0,0,0,0,0
"('cell', 1330)",0,5,0,0,0,0,0
"('cell', 1378)",0,3,0,0,0,0,0
"('cell', 1333)",0,2,0,0,0,0,0
"('cell', 1405)",0,3,0,0,0,0,0
"('cell', 1380)",0,3,0,0,0,0,0
"('cell', 1334)",0,2,0,0,0,0,0
"('cell', 1452)",0,3,0,0,0,0,0
"('cell', 1441)",0,4,0,0,0,0,0
"('cell', 1480)",0,4,0,0,0,0,0
"('cell', 1440)",0,3,2,0,0,0,0
"('cell', 1400)",0,5,0,0,0,0,0
"('cell', 1104)",0,2,0,1,0,0,0
"('cell', 1047)",0,1,0,0,0,0,0
"('cell', 1093)",0,1,0,1,0,0,0
"('cell', 1020)",0,1,0,0,0,0,0
"('cell', 1041)",0,2,0,0,0,0,0
"('cell', 1004)",0,3,0,0,0,0,0
"('cell', 1055)",0,1,0,1,0,0,0
